StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
3,VIC,McMillan,227,28,Mardan,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Maryknoll,Current,Fr Pooley Memorial Hall,Koolbirra Rd,,,MARYKNOLL,VIC,3812,4890,Fr Pooley Memorial Hall,Koolbirra Rd,MARYKNOLL,,,Entrance to the polling place is from th e car park accessed via Koolbirra Rd.,-38.0327,145.601,2341509,Assisted,340,30,0,1
3,VIC,McMillan,227,28,Meeniyan,Current,Meeniyan Uniting Church Hall,Geale St,,,MEENIYAN,VIC,3956,3790,Uniting Church Hall,Geale St,MEENIYAN,,,Entrance to the polling place is in Geal e St. The hall is entered down the side of the church.,-38.5788,146.015,2200407,Assisted,741,54,2,1
3,VIC,McMillan,227,28,Melbourne (McMillan),Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Mirboo North,Current,Mirboo North Town Hall,30 Ridgway Street,,,MIRBOO NORTH,VIC,3871,3794,Town Hall,30 Ridgway,MIRBOO NORTH,,,Footpath entrance to the polling place i s from Ridgway. Car park is accessed fro m Brennan St.,-38.4008,146.154,2200410,Assisted,1523,121,4,2
3,VIC,McMillan,227,28,Moe,Current,Albert St Primary School,40 Albert St,,,MOE,VIC,3825,4405,Albert St Primary School,40 Albert St,MOE,,,"Gateway entrance to the polling place is  from Anzac St, although the school can be entered from Albert St and Haigh St.",-38.17466,146.264053,2181704,Assisted,2439,196,5,2
3,VIC,McMillan,227,28,Moe Central,Current,Baringa School,47 Staff St,,,MOE,VIC,3825,4406,Baringa School,47 Staff St,MOE,,,Entrance to the polling place is from St aff St.,-38.1923,146.256,2181807,Assisted,1201,72,3,1
3,VIC,McMillan,227,28,Moe West,Current,St Kieran's Parish Hall,2 Wirraway Street,,,MOE,VIC,3825,4407,St Kieran's Parish Hall,2 Wirraway St,MOE,,,Entrance to the polling place is from th e car park which is accessible from Wirr away St.,-38.1797,146.254,2181803,Assisted,1204,106,3,1
3,VIC,McMillan,227,28,Mount Eccles,Current,Mount Eccles Mechanics Institute Hall,Hall Rd,,,MOUNT ECCLES,VIC,3953,3796,Mechanics Institute Hall,Hall Rd,MOUNT ECCLES,,,Entrance to the polling place is in Hall Rd.,-38.3638,145.977,2200401,Assisted,157,5,0,1
3,VIC,McMillan,227,28,Nar Nar Goon,Current,Nar Nar Goon Primary School,Spencer St,,,NAR NAR GOON,VIC,3812,4412,Primary School,Spencer St,NAR NAR GOON,,,Entrance to the polling place is in Spen cer St.,-38.0826373,145.5733749,2342606,Assisted,705,60,2,1
